aen	aː ə n
aarbechtsdokteren	aː ɐ b ə ɕ t s d o k t ə ʀ ə n
aarbechtsdoktesch	aː ɐ b ə ɕ t s d o k t ə ʃ
aarbechtsdokteschen	aː ɐ b ə ɕ t s d o k t ə ʃ ə n
aarbechtserlaabnes	aː ɐ b ə ɕ ts ɐ l aː b n ə s
aarbechtserlaabnesser	aː ɐ b ə ɕ ts ɐ l aː b n ə s ɐ
aarbechtserlaabnis	aː ɐ b ə ɕ ts ɐ l aː b n i s
aarbechtserlaabnisser	aː ɐ b ə ɕ ts ɐ l aː b n i s ɐ
aarbechtsfäeg	aː ɐ b ə ɕ t s f ɛː ə ɕ
aarbechtsfäheg	aː ɐ b ə ɕ t s f ɛː ə ɕ
aarbechtsgesetz	aː ɐ b ə ɕ t s g ə z æ ts
aarbechtsgezei	aː ɐ b ə ɕ t s g ə ts ɑɪ
aarbechtsgrupp	aː ɐ b ə ɕ t s g ʀ u p
aarbechtsgruppen	aː ɐ b ə ɕ t s g ʀ u p ə n
aarbechtskleedung	aː ɐ b ə ɕ t s k l eː d u ŋ
aarbechtsklima	aː ɐ b ə ɕ t s k l iː m aː
aarbechtskolleeg	aː ɐ b ə ɕ t s k o l eː ɕ
aarbechtskolleegen	aː ɐ b ə ɕ t s k o l eː ʑ ə n
aarbechtskolleegin	aː ɐ b ə ɕ t s k o l eː ʑ i n
aarbechtskolleeginnen	aː ɐ b ə ɕ t s k o l eː ʑ i n ə n
aarbechtskolleg	aː ɐ b ə ɕ t s k o l eː ɕ
aarbechtskollegen	aː ɐ b ə ɕ t s k o l eː ʑ ə n
aarbechtskollegin	aː ɐ b ə ɕ t s k o l eː ʑ i n
aarbechtskolleginnen	aː ɐ b ə ɕ t s k o l eː ʑ i n ə n
aarbechtskonditiounen	aː ɐ b ə ɕ t s k o n d i ts j əʊ n ə n
aarbechtskontrakt	aː ɐ b ə ɕ t s k o n t ʀ ɑ k t
aarbechtskontrakten	aː ɐ b ə ɕ t s k o n t ʀ ɑ k t ə n
aarbechtslos	aː ɐ b ə ɕ t s l oː s
aarbechtslosegkeet	aː ɐ b ə ɕ t s l oː z ə ɕ k eː t
aarbechtslosenzuel	aː ɐ b ə ɕ t s l oː z ə n ts uə l
aarbechtslosenzuelen	aː ɐ b ə ɕ t s l oː z ə n ts uə l ə n
aarbechtsmaart	aː ɐ b ə ɕ t s m aː ʀ t
aarbechtsmäert	aː ɐ b ə ɕ t s m ɛː ɐ t
aarbechtspensum	aː ɐ b ə ɕ t s p æ n s u m
aarbechtsplaz	aː ɐ b ə ɕ t s p l aː ts
aarbechtsplazen	aː ɐ b ə ɕ t s p l aː ts ə n
aarbechtsprozess	aː ɐ b ə ɕ t s p ʀ o ts æ s
aarbechtsprozesser	aː ɐ b ə ɕ t s p ʀ o ts æ s ɐ
aarbechtsrecht	aː ɐ b ə ɕ t s ʀ æ ɕ t
aarbechtsrechter	aː ɐ b ə ɕ t s ʀ æ ɕ t ɐ
aarbechtsrhythmus	aː ɐ b ə ɕ t s ʀ i t m u s
aarbechtsrhythmen	aː ɐ b ə ɕ t s ʀ i t m ə n
aarbechtssëtzung	aː ɐ b ə ɕ ts z ə ts u ŋ
aarbechtssëtzungen	aː ɐ b ə ɕ ts z ə ts u ŋ ə n
aarbechtssituatioun	aː ɐ b ə ɕ t s z i t w ɑ ts j əʊ n
aarbechtssituatiounen	aː ɐ b ə ɕ t s z i t w ɑ ts j əʊ n ə n
aarbechtssitzung	aː ɐ b ə ɕ t s i ts u ŋ
aarbechtssitzungen	aː ɐ b ə ɕ t s i ts u ŋ ə n
aarbechtsvertrag	aː ɐ b ə ɕ ts f ɐ t ʀ aː χ
aarbechtsverträg	aː ɐ b ə ɕ ts f ɐ t ʀ æ ɕ
aarbechtszäit	aː ɐ b ə ɕ t s ts æːɪ t
aarbechtszäiten	aː ɐ b ə ɕ t s ts æːɪ t ə n
aarbel	aː ɐ b ə l
aarbelen	aː ɐ b ə l ə n
aarm	aː ɐ m
äerm	ɛː ɐ m
aarmebureau	aː ɐ m eː b y ʀ oː
aarmebureauen	aː ɐ m eː b y ʀ oː ə n
aarmebüro	aː ʀ m ə b y ʀ oː
aarmebüroen	aː ʀ m ə b y ʀ oː ə n
aarmeleitskascht	aː ɐ m ə l ɑɪ t s k ɑ ʃ t
aarmséileg	aː ɐ m s ɜɪ l ə ɕ
aarmséilegkeet	aː ɐ m s ɜɪ l ə ɕ k eː t
aarmut	aː ɐ m u t
aart	aː ʀ t
aarten	aː ʀ t ə n
aartlech	aː ʀ t l ə ɕ
aasch	aː ʃ
eesch	eː ʃ
aaschbak	aː ʃ b aː k
aaschbaken	aː ʃ b aː k ə n
aaschkrécher	aː ʃ k ʀ ə ɕ ɐ
aaschkréchesch	aː ʃ k ʀ ə ɕ ə ʃ
aaschkrécheschen	aː ʃ k ʀ ə ɕ ə ʃ ə n
aaschlach	aː ʃ l ɑ χ
aaschlächer	aː ʃ l æ ɕ ɐ
aascht	aː ʃ t
äscht	æ ʃ t
aassel	aː s ə l
aasselbur	aː s ə l b uː ʀ
aasselscheier	aː s ə l ʃ ɑɪ ɐ
aaxt	aː k s t
aaxten	aː k s t ə n
ab	ɑ p
aband	ɑ b ɑ n t
abänn	ɑ b æ n
abannen	ɑ b ɑ n ə n
agebonnen	ɑ g ə b o n ə n
abattement	ɑ b ɑ t ə m ɑ̃ː
abattementen	ɑ b ɑ t ə m ɑ̃ː ə n
abauen	ɑ b ɑʊ ə n
agebaut	ɑ g ə b æːʊ t
abbé	ɑ b eː
abbéen	ɑ b eː ə n
abberdéngeg	ɑ b ɐ d e ŋ ə ɕ
abberzuel	ɑ b ɐ ts uə l
abeezen	ɑ b eː ts ə n
agebeezt	ɑ g ə b eː ts t
abegraff	ɑ b ə g ʀ ɑ f
abéien	ɑ b ɜɪ ə n
agebéit	ɑ g ə b ɜɪ t
abéissen	ɑ b ɜɪ s ə n
agebéisst	ɑ g ə b ɜɪ s t
abenteuer	aː b ə n t oɪ ɐ
abenteuerlech	aː b ə n t oɪ ɐ l ə ɕ
aberuffen	ɑ b ə ʀ u f ə n
aberuff	ɑ b ə ʀ u f
abetonéieren	ɑ b ə t oː n ɜɪ ə ʀ ə n
abetonéiert	ɑ b ə t oː n ɜɪ ɐ t
abezéien	ɑ b ə ts ɜɪ ə n
abezunn	ɑ b ə ts u n
abezuelen	ɑ b ə ts uə l ə n
abezuelt	ɑ b ə ts uə l t
abiergeren	ɑ b iː ɐ ʑ ə ʀ ə n
agebiergert	ɑ g ə b iə ʑ ɐ t
abilden	ɑ b i l d ə n
agebilt	ɑ g ə b i l t
abildung	ɑ b i l d u ŋ
abildungen	ɑ b i l d u ŋ ə n
abiméieren	ɑ b i m ɜɪ ə ʀ ə n
abiméiert	ɑ b i m ɜɪ ɐ t
ablack	ɑ b l ɑ k
ablécker	ɑ b l e k ɐ
abléck	ɑ b l e k
ablécklech	ɑ b l e k l ə ɕ
ablenden	ɑ b l æ n d ə n
ageblent	ɑ g ə b l æ n t
ablennen	ɑ b l æ n ə n
ageblennt	ɑ g ə b l æ n t
abo	ɑ b oː
aboen	ɑ b oː ə n
abonnéieren	ɑ b o n ɜɪ ə ʀ ə n
abonnéiert	ɑ b o n ɜɪ ɐ t
abonnement	ɑ b o n ə m æ n t
abonnementer	ɑ b o n ə m æ n t ɐ
abonnent	ɑ b o n æ n t
abonnenten	ɑ b o n æ n t ə n
abonnentin	ɑ b o n æ n t i n
abonnentinnen	ɑ b o n æ n t i n ə n
abordabel	ɑ b ɔ ʀ d aː b ə l
abordéieren	ɑ b ɔ ʀ d ɜɪ ə ʀ ə n
abordéiert	ɑ b ɔ ʀ d ɜɪ ɐ t
abrëll	ɑ b ʀ ə l
abrëller	ɑ b ʀ ə l ɐ
abrëllsgeck	ɑ b ʀ ə l s g æ k
abrëllsgecken	ɑ b ʀ ə l s g æ k ə n
abrëllswieder	ɑ b ʀ ə l s v iə d ɐ
abrëllswitz	ɑ b ʀ ə l s v i ts
abrëllswitzen	ɑ b ʀ ə l s v i ts ə n
abréngen	ɑ b ʀ e ŋ ə n
abruecht	ɑ b ʀ uə ɕ t
abrennen	ɑ b ʀ æ n ə n
agebrannt	ɑ g ə b ʀ ɑ n t
abriechen	ɑ b ʀ iə ɕ ə n
agebrach	ɑ g ə b ʀ ɑ χ
abriecher	ɑ b ʀ iə ɕ ɐ
abriecherin	ɑ b ʀ iə ɕ ə ʀ i n
abriecherinnen	ɑ b ʀ iə ɕ ə ʀ i n ə n
abroch	ɑ b ʀ o χ
abréch	ɑ b ʀ ə ɕ
abrupt	ɑ b ʀ u p t
abs	ɑ p s
abscheilech	ɑ p ʃ ɑɪ l ə ɕ
abschid	ɑ p ʃ i t
abschnitt	ɑ p ʃ n i t
abschnitter	ɑ p ʃ n i t ɐ
absehbar	ɑ p z eː b aː ʀ
abseits	ɑ p z ɑɪ t s
absence	ɑ p z ɑ̃ː s
absencen	ɑ p z ɑ̃ː s ə n
absender	ɑ b z æ n d ɐ
absënns	ɑ p z ə n s
absenteismus	ɑ b z æ n t eː i s m u s
absicht	ɑ p z i ɕ t
absichten	ɑ p z i ɕ t ə n
absichtlech	ɑ p z i ɕ t l ə ɕ
absolut	ɑ p z o l u
absolutioun	ɑ p z o l u t j əʊ n
absolutiounen	ɑ p z o l u t j əʊ n ə n
absolutismus	ɑ p z o l u t i s m u s
absolvéieren	ɑ p z o l v ɜɪ ə ʀ ə n
absolvéiert	ɑ p z o l f ɜɪ ɐ t
absolvent	ɑ p z o l v ɑ̃ː
absolventen	ɑ p z o l v ɑ̃ː ə n
absolventin	ɑ p z o l v ɑ̃ː t i n
absolventinnen	ɑ p z o l v æ n t i n ə n
abstentioun	ɑ b s t æ n t j əʊ n
abstentiounen	ɑ b s t æ n t j əʊ n ə n
abstrakt	ɑ b s t ʀ ɑ k t
abstraktioun	ɑ b s t ʀ ɑ k s j əʊ n
abstraktiounen	ɑ b s t ʀ ɑ k s j əʊ n ə n
absurd	ɑ p z u ʀ t
absurditéit	ɑ p z u ʀ t i t ɜɪ t
absurditéiten	ɑ p z u ʀ t i t ɜɪ t ə n
abt	ɑ p t
äbt	æ p t
abtei	ɑ p t ɑɪ
abteien	ɑ p t ɑɪ ə n
abteilung	ɑ p t ɑɪ l u ŋ
abteilungen	ɑ p t ɑɪ l u ŋ ə n
äbtissin	æ p t i s i n
äbtissinnen	æ p t i s i n ə n
abuddelen	ɑ b u d ə l ə n
agebuddelt	ɑ g ə b u d ə l t
abus	ɑ b yː
abusen	ɑ b yː ə n
abzebild	ɑ b ts ə b i l t
abzebiller	ɑ b ts ə b i l ɐ
abzebildchen	ɑ b ts ə b i l t ɕ ə n
abzebillercher	ɑ b ts ə b i l ɐ ɕ ɐ
acajou	ɑ k ɑ ʒ uː
acceleratioun	ɑ k s e l ə ʀ ɑ ts j əʊ n
acceleréieren	ɑ k s e l ə ʀ ɜɪ ə ʀ ə n
acceleréiert	ɑ k s e l ə ʀ ɜɪ ɐ t
accent	ɑ k s ɑ̃ː
accenten	ɑ k s ɑ̃ː ə n
accentuéieren	ɑ k s ɑ̃ː t y ɜɪ ə ʀ ə n
accentuéiert	ɑ k s ɑ̃ː t y ɜɪ ɐ t
acceptabel	ɑ k s æ p t aː b ə l
acceptanz	ɑ k s æ p t ɑ n ts
acceptéieren	ɑ k s æ p t ɜɪ ə ʀ ə n
acceptéiert	ɑ k s æ p t ɜɪ ɐ t
accès	ɑ k s ɛː
accèsen	ɑ k s ɛː ə n
accessibel	ɑ k s æ s i b ə l
accessoire	ɑ k s æ s w aː ʀ
accessoiren	ɑ k s æ s w aː ʀ ə n
accident	ɑ k s i d æ n t
accidenter	ɑ k s i d æ n t ɐ
accidentéiert	ɑ k s i d æ n t ɜɪ ɐ t
accisen	ɑ k s iː z ə n
accord	ɑ k ɔː ʀ
accorden	ɑ k ɔː ʀ ə n
accordéieren	ɑ k ɔː ʀ d ɜɪ ə ʀ ə n
accordéiert	ɑ k ɔː ʀ d ɜɪ ɐ t
accouchéieren	ɑ k u ʃ ɜɪ ə ʀ ə n
accouchéiert	ɑ k u ʃ ɜɪ ɐ t
accouchement	ɑ k u ʃ ə m æ n t
accouchementer	ɑ k u ʃ ə m æ n t ɐ
accreditatioun	ɑ k ʀ e d i t ɑ ts j əʊ n
accreditatiounen	ɑ k ʀ e d i t ɑ ts j əʊ n ə n
accreditéieren	ɑ k ʀ e d i t ɜɪ ə ʀ ə n
accreditéiert	ɑ k ʀ e d i t ɜɪ ɐ t
accueil	ɑ k œ j
accueilen	ɑ k œ j ə n
accumulatioun	ɑ k y m y l ɑ ts j əʊ n
accumulatiounen	ɑ k y m y l ɑ ts j əʊ n ə n
accumuléieren	ɑ k y m y l ɜɪ ə ʀ ə n
accumuléiert	ɑ k y m y l ɜɪ ɐ t
accusatioun	ɑ k œ z ɑ ts j əʊ n
accusatiounen	ɑ k œ z ɑ ts j əʊ n ə n
accuséieren	ɑ k y z ɜɪ ə ʀ ə n
accuséiert	ɑ k y z ɜɪ ɐ t
achs	ɑ k s
achsen	ɑ k s ə n
achterbahn	ɑ χ t ɐ b aː n
achterbahnen	ɑ χ t ɐ b aː n ə n
achterbunn	ɑ χ t ɐ b u n
achterbunnen	ɑ χ t ɐ b u n ə n
achzeg	ɑ χ ts ə ɕ
achzeger	ɑ χ ts ə ʑ ɐ
achzegerjoren	ɑ χ ts ə ʑ ɐ j oː ʀ ə n
achzegst	ɑ χ ts ə ɕ s t
acompte	ɑ k ɑ̃ː n t
acompten	ɑ k ɑ̃ː n t ə n
acquis	ɑ k iː
acquisen	ɑ k iː ə n
acquisitioun	ɑ k i z i ts j əʊ n
acquisitiounen	ɑ k i z i ts j əʊ n ə n
acquittéieren	ɑ k i t ɜɪ ə ʀ ə n
acquittéiert	ɑ k i t ɜɪ ɐ t
acrèmen	ɑ k ʀ ɛː m ə n
agecrèmt	ɑ g e k ʀ ɛː m t
acteur	ɑ k t œː ʀ
acteuren	ɑ k t œː ʀ ə n
actionfilm	ɑ k s j oː f i l m
actionfilmer	ɑ k s j oː f i l m ɐ
actionnaire	ɑ k s j oː n ɛː ʀ
actionnairen	ɑ k s j oː n ɛː ʀ ə n
actionnairesversammlung	ɑ k s j oː n ɛː ʀ ə s f ɐ z ɑ m l u ŋ
actionnairesversammlungen	ɑ k s j oː n ɛː ʀ ə s f ɐ z ɑ m l u ŋ ə n
actionnairin	ɑ k s j oː n ɛː ʀ i n
actionnairinnen	ɑ k s j oː n ɛː ʀ i n ə n
actrice	ɑ k t ʀ i s
actricen	ɑ k t ʀ i s ə n
adaptatioun	ɑ d p t ɑ ts j əʊ n
adaptatiounen	ɑ d p t ɑ ts j əʊ n ə n
adaptéieren	ɑ d p t ɜɪ ə ʀ ə n
adaptéiert	ɑ d p t ɜɪ ɐ t
adapter	ɑ d p t ɐ
adapteren	ɑ d p t ə ʀ ə n
addéieren	ɑ d ɜɪ ə ʀ ə n
addéiert	ɑ d ɜɪ ɐ t
äddi	æ d iː
additioun	ɑ d i ts j əʊ n
additiounen	ɑ d i ts j əʊ n ə n
adel	aː d ə l
adeleg	aː d ə l ə ɕ
adequat	ɑ d e k w aː t
adjektiv	ɑ t j e k t iː f
adjektiven	ɑ t j e k t iː v ə n
adjoint	ɑ dʒ w ɛ̃ː
adjointen	ɑ dʒ w ɛ̃ː ə n
adjointe	ɑ dʒ w ɛ̃ː ə
adjointeën	ɑ dʒ w ɛ̃ː n t ə n
adjutant	ɑ dʒ u t ɑ n t
adjutanten	ɑ dʒ u t ɑ n t ə n
adjutantin	ɑ dʒ u t ɑ n t i n
adjutantinnen	ɑ dʒ u t ɑ n t i n ə n
adler	aː d l ɐ
administrateur	aː t m i n i s t ʀ ɑ t œː ʀ
administrateuren	aː t m i n i s t ʀ ɑ t œː ʀ ə n
administrateurin	aː t m i n i s t ʀ ɑ t œː ʀ i n
administrateurinnen	aː t m i n i s t ʀ ɑ t œː ʀ i n ə n
administratioun	aː t m i n i s t ʀ ɑ ts j əʊ n
administratiounen	aː t m i n i s t ʀ ɑ ts j əʊ n ə n
administrativ	aː t m i n i s t ʀ ɑ t iː f
administratrice	aː t m i n i s t ʀ ɑ t ʀ i s
administratricen	aː t m i n i s t ʀ ɑ t ʀ i s ə n
administréieren	aː t m i n i s t ʀ ɜɪ ə ʀ ə n
administréiert	aː t m i n i s t ʀ ɜɪ ɐ t
admirol	aː t m i ʀ oː l
admireel	aː t m i ʀ eː l
admirolin	aː t m i ʀ oː l i n
admirolinnen	aː t m i ʀ oː l i n ə n
admissioun	aː t m i s j əʊ n
admissiounen	aː t m i s j əʊ n ə n
adoptéieren	ɑ d o p t ɜɪ ə ʀ ə n
adoptéiert	ɑ d o p t ɜɪ ɐ t
adoptioun	ɑ d o p t j əʊ n
adoptiounen	ɑ d o p t j əʊ n ə n
adoptivelteren	ɑ d o p t iː f æ l t ə ʀ ə n
adoptivkand	ɑ d o p t iː f k ɑ n t
adoptivkanner	ɑ d o p t iː f k ɑ n ɐ
adress	ɑ d ʀ æ s
adressen	ɑ d ʀ æ s ə n
adresse	ɑ d ʀ æ s
adressebichelchen	ɑ d ʀ æ s ə b i ɕ ə l ɕ ə n
adressebichelcher	ɑ d ʀ æ s ə b i ɕ ə l ɕ ɐ
adressëbichelchen	ɑ d ʀ æ s ə b i ɕ ə l ɕ ə n
adressëbichelcher	ɑ d ʀ æ s ə b i ɕ ə l ɕ ɐ
adresséieren	ɑ d ʀ æ s ɜɪ ə ʀ ə n
adresséiert	ɑ d ʀ æ s ɜɪ ɐ t
advent	ɑ d v æ n t
adventsdekoratioun	ɑ d v æ n t s d ə k o ʀ ɑ ts j əʊ n
adventsdekoratiounen	ɑ d v æ n t s d ə k o ʀ ɑ ts j əʊ n ə n
adventskalenner	ɑ d v æ n t s k ɑ l æ n ɐ
adventskalenneren	ɑ d v æ n t s k ɑ l æ n ə ʀ ə n
adventskranz	ɑ d v æ n t s k ʀ ɑ n ts
adventskränz	ɑ d v æ n t s k ʀ æ n ts
adventslidd	ɑ d v æ n t s l i t
adventslidder	ɑ d v æ n t s l i d ɐ
adventsmaart	ɑ d v æ n t s m aː ʀ t
adventsmäert	ɑ d v æ n t s m ɛː ɐ t
adventssonndeg	ɑ d v æ n t s z o n d ə ɕ
adventssonndeger	ɑ d v æ n t s z o n d ə ʑ ɐ
adverb	ɑ d v ɛ ʀ p
adverben	ɑ d v æ ʀ b ə n
aemooss	aː ə m oː s
aendeckel	aː ə n d æ k ə l
aendeckelen	aː ə n d æ k ə l ə n
aendokter	aː ə n d o k t ɐ
aendokteren	aː ə n d o k t ə ʀ ə n
aendoktesch	aː ə n d o k t ə ʃ
aendokteschen	aː ə n d o k t ə ʃ ə n
aenzeien	aː ə n ts ɑɪ ə n
äerbel	ɛː ɐ b ə l
äerd	ɛː ɐ t
äerdatmosphär	ɛː ɐ d aː t m o s p h ɛː ɐ
äerdbier	ɛː ɐ t b iː ɐ
äerdbieren	ɛː ɐ t b iː ʀ ə n
äerdbiersgebeess	ɛː ɐ t b iː ɐ s g ə b eː s
äerdbiersgebeesser	ɛː ɐ t b iː ɐ s g ə b eː s ɐ
äerdbiersgeschmaach	ɛː ɐ t b iː ɐ s g ə ʃ m aː χ
äerdbiersglace	ɛː ɐ t b iː ɐ s g l ɑ s
äerdbiersglacen	ɛː ɐ t b iː ɐ s g l ɑ s ə n
äerdbiersgoût	ɛː ɐ t b iː ɐ s g uː
äerdbiersjughurt	ɛː ɐ t b iː ɐ z ʑ uː χ h u ʀ t
äerdbiersjughurten	ɛː ɐ t b iː ɐ z ʑ uː χ h u ʀ t ə n
äerdbierskamell	ɛː ɐ t b iː ɐ s k ɑ m æ l
äerdbierskamellen	ɛː ɐ t b iː ɐ s k ɑ m æ l ə n
äerdbierslikör	ɛː ɐ t b iː ɐ s l i k øː ʀ
äerdbierslikören	ɛː ɐ t b iː ɐ s l i k øː ʀ ə n
äerdbierslutsch	ɛː ɐ t b iː ɐ s l u t ʃ
äerdbierslutschen	ɛː ɐ t b iː ɐ s l u t ʃ ə n
äerdbierstaart	ɛː ɐ t b iː ɐ ʃ t aː ʀ t
äerdbierstaarten	ɛː ɐ t b iː ɐ ʃ t aː ʀ t ə n
äerdbiewegebitt	ɛː ɐ t b iə v ə g ə b i t
äerdbiewegebidder	ɛː ɐ t b iə v ə g ə b i d ɐ
äerdbiewen	ɛː ɐ t b iə v ə n
äerdbuedem	ɛː ɐ t b uə d ə m
äerdeg	ɛː ɐ d ə ɕ
äerden	ɛː ɐ d ə n
geäert	ʒ eː ɛː ɐ t
äerdgas	ɛː ɐ t g aː s
äerdkugel	ɛː ɐ t k u ʁ ə l
äerdrutsch	ɛː ɐ d ʀ u t ʃ
äerdrutschen	ɛː ɐ d ʀ u t ʃ ə n
äermchen	ɛː ɐ m ɕ ə n
äermercher	ɛː ɐ m ɐ ɕ ɐ
äert	ɛː ɐ t
äerz	ɛː ɐ ts
äerzer	ɛː ɐ ts ɐ
äerzbëschof	ɛː ɐ ts b ə ʃ oː f
äerzbëscheef	ɛː ɐ ts b ə ʃ eː f
äerzengel	ɛː ɐ ts æ ŋ ə l
äerzengelen	ɛː ɐ ts æ ŋ ə l ə n
af	aː f
afen	aː f ə n
afaart	ɑ f aː ʀ t
afaarten	ɑ f aː ʀ t ə n
afahrt	ɑ f aː ʀ t
afahrten	ɑ f aː ʀ t ə n
afalen	ɑ f aː l ə n
agefall	ɑ g ə f ɑ l
afänken	ɑ f æ ŋ k ə n
agefaangen	ɑ g ə f aː ŋ ə n
afeg	aː f ə ɕ
aféieren	ɑ f ɜɪ ə ʀ ə n
ageféiert	ɑ g ə f ɜɪ ɐ t
aféierung	ɑ f ɜɪ ə ʀ u ŋ
aféierungen	ɑ f ɜɪ ə ʀ u ŋ ə n
afëllen	ɑ f ə l ə n
agefëllt	ɑ g ə f ə l t
geaaft	g ə aː f t
afenhëtzt	aː f ə n h ə ts t
afennoss	ɑ f æ n o s
afennëss	aː f ə n n ə s
afetten	ɑ f æ t ə n
agefett	ɑ g ə f æ t
affaire	ɑ f ɛː ʀ
affairen	ɑ f ɛː ʀ ə n
affär	ɑ f ɛː ʀ
affären	ɑ f ɛː ʀ ə n
äffchen	æ f ɕ ə n
äffercher	æ f ɐ ɕ ɐ
affectatioun	ɑ f æ k t ɑ ts j əʊ n
affectatiounen	ɑ f æ k t ɑ ts j əʊ n ə n
affectéieren	ɑ f æ k t ɜɪ ə ʀ ə n
affectéiert	ɑ f æ k t ɜɪ ɐ t
affekot	ɑ f ə k oː t
affekoten	ɑ f ə k oː t ə n
affekotin	ɑ f ə k oː t i n
affekotinnen	ɑ f ə k oː t i n ə n
affekt	ɑ f ə k t
affektatioun	ɑ f ə k t ɑ ts j əʊ n
affektatiounen	ɑ f ə k t ɑ ts j əʊ n ə n
affektéieren	ɑ f ə k t ɜɪ ə ʀ ə n
affektéiert	ɑ f ə k t ɜɪ ɐ t
affer	ɑ f ɐ
afferen	ɑ f ə ʀ ə n
geaffert	ʒ eː ɑ f ɐ t
afferstack	ɑ f ɐ ʃ t ɑ k
afferstäck	ɑ f ɐ ʃ t æ k
affichage	ɑ f i ʃ aː ʃ
affichagen	ɑ f i ʃ aː ʒ ə n
affiche	ɑ f i ʃ
affichen	ɑ f i ɕ ə n
affichéieren	ɑ f i ʃ ɜɪ ə ʀ ə n
affichéiert	ɑ f i ʃ ɜɪ ɐ t
affiliatioun	ɑ f i l j ɑ ts j əʊ n
affiliatiounen	ɑ f i l j ɑ ts j əʊ n ə n
affiliéieren	ɑ f i l j ɜɪ ə ʀ ə n
affiliéiert	ɑ f i l j ɜɪ ɐ t
affinitéit	ɑ f i n i t ɜɪ t
affinitéiten	ɑ f i n i t ɜɪ t ə n
affirmatioun	ɑ f i ʀ m ɑ t j əʊ n
affirmatiounen	ɑ f i ʀ m ɑ ts j əʊ n ə n
affirméieren	ɑ f i ʀ m ɜɪ ə ʀ ə n
affirméiert	ɑ f i ʀ m ɜɪ ɐ t
affront	ɑ f ʀ o n t
affronten	ɑ f ʀ o n t ə n
affrontéiert	ɑ f ʀ o n t ɜɪ ɐ t
afghan	ɑ f g aː n
afghanen	ɑ f g aː n ə n
afghanesch	ɑ f g aː n ə ʃ
afghanin	ɑ f g aː n i n
afghaninnen	ɑ f g aː n i n ə n
afghanistan	ɑ f g aː n i s t aː n
afloss	ɑ f l o s
aflëss	ɑ f l ə s
afréieren	ɑ f ʀ ɜɪ ə ʀ ə n
agefruer	ɑ g ə f ʀ uː ɐ
afriessen	ɑ f ʀ iə s ə n
agefriess	ɑ g ə f ʀ iə s
aftershave	ɑ f t ɐ s h ɑ v ə
aftershaven	ɑ f t ɐ s h ɑ v ə n
